Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.44     0.00      800     0.00     0.00  operator>>(std::istream&, val_t&)
  0.00      1.44     0.00      700     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00      700     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00      700     0.00     0.00  void std::__final_insertion_sort<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> > >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_comp_iter<std::less<val_t> >)
  0.00      1.44     0.00      700     0.00     0.00  operator==(std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      600     0.00     0.00  test_empty(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      600     0.00     0.13  test_insert_it(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.44     0.00      600     0.00     0.00  test_find(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, unsigned long)
  0.00      1.44     0.00      501     0.00     0.00  std::pair<std::_Rb_tree_iterator<val_t>, bool> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_unique<val_t>(val_t&&)
  0.00      1.44     0.00      500     0.00     0.00  test_clear(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&)
  0.00      1.44     0.00      402     0.00     0.00  ADS_set<val_t, 7ul>::ADS_set(std::initializer_list<val_t>)
  0.00      1.44     0.00      400     0.00     0.00  test_equality(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      400     0.00     0.00  void swap<val_t, 7ul>(ADS_set<val_t, 7ul>&, ADS_set<val_t, 7ul>&)
  0.00      1.44     0.00      400     0.00     0.01  test_copy(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      400     0.00     0.00  ADS_set<val_t, 7ul>::swap(ADS_set<val_t, 7ul>&)
  0.00      1.44     0.00      400     0.00     0.00  ADS_set<val_t, 7ul>::ADS_set(ADS_set<val_t, 7ul> const&)
  0.00      1.44     0.00      400     0.00     0.00  ADS_set<val_t, 7ul>::operator=(ADS_set<val_t, 7ul> const&)
  0.00      1.44     0.00      400     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      1.44     0.00      400     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t&&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.44     0.00      400     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::swap(std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >&)
  0.00      1.44     0.00      300     0.00     0.01  test_insert(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.44     0.00      300     0.00     0.10  test_find_iter(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      300     0.00     0.00  test_inequality(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.44     0.00      300     0.00     0.14  test_insert_it_erase(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.44     0.00      300     0.00     0.00  ADS_set<val_t, 7ul>::insert(std::initializer_list<val_t>)
  0.00      1.44     0.00      300     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node&)
