Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.36     0.00      400     0.00     0.01  test_copy(ADS_set<val_t, 17ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.36     0.00      400     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t&&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Alloc_node&)
  0.00      1.36     0.00      400     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::swap(std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >&)
  0.00      1.36     0.00      300     0.00     0.01  test_insert(ADS_set<val_t, 17ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.36     0.00      300     0.00     0.00  test_inequality(ADS_set<val_t, 17ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, ADS_set<val_t, 17ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.36     0.00      300     0.00     0.00  test_insert_it_erase(ADS_set<val_t, 17ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
  0.00      1.36     0.00      300     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_<val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node&)
  0.00      1.36     0.00      300     0.00     0.00  std::_Rb_tree_iterator<val_t> std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_insert_unique_<val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node>(std::_Rb_tree_const_iterator<val_t>, val_t const&, std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_Reuse_or_alloc_node&)
  0.00      1.36     0.00      300     0.00     0.00  operator!=(std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.36     0.00      200     0.00     0.01  test_assign(ADS_set<val_t, 17ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.00      1.36     0.00      200     0.00     0.00  test_insert_ilist(ADS_set<val_t, 17ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&)
  0.00      1.36     0.00      200     0.00     0.00  test_swap_insert_erase(ADS_set<val_t, 17ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, ADS_set<val_t, 17ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)
